Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start,found_match
Gina Gershon,1962-06-10,F,1.68,Jewish people,23.0,4.863590856697813,,York University,,Dance,Los Angeles California US,1962-06-10,,,1981.0,True
Mía Maestro,1978-06-19,F,1.63,Argentines,24.0,4.863166426295959,Female,Did not go,Yes,Dance,Buenos Aires Argentina,1978-06-19,,,1998.0,False
Barbara Windsor,1937-08-06,F,1.5,,72.0,4.863076956594687,Female,Imperial College London,Yes,Dance,Shoreditch London England,1937-08-06,,,1950.0,True
Yaya Da Costa,1982-11-15,F,1.73,African Americans,26.0,4.862713729560004,Female,Brown University,,Dance,New York City US,1982-11-15,,1.0,2004.0,True
Drew Barrymore,1975-02-22,F,1.63,Irish Americans,7.0,4.862672350736721,Male,Specialised Acting School,,,Culver City California US,1975-02-22,,2.0,1976.0,False
Sergi López,1965-12-22,M,1.7,,36.0,4.862313316646395,,Did not go,,,,,,,,False
David Schofield,1951,M,1.78,English people,30.0,4.862271238380905,,Did not go,,,,,,,,False
Declan Donnelly,1975-09-25,M,1.68,Irish people,27.0,4.862211079456043,Male,Did not go,,,Newcastle upon Tyne England,1975-09-25,,2.0,1987.0,False
Lúcia Moniz,1976-09-09,F,1.62,,26.0,4.862211079456043,Female,Did not go,,Dance,Lisbon,1976-09-09,,,1996.0,False
Andrew Lincoln,1973-09-14,M,1.78,,29.0,4.862211079456043,,Specialised Drama School,Yes,,London England,1973-09-14,,2.0,1994.0,False
Martine McCutcheon,1976-05-14,F,1.7,White British,27.0,4.862211079456043,Female,Specialised Drama School,Yes,Dance,Hackney London England,1976-05-14,,1.0,1995.0,False
Regina King,1971-01-15,F,1.6,African Americans,20.0,4.860712254611835,Female,Did not go,,,Los Angeles County California US,1971-01-15,,1.0,1985.0,False
Fergie,1975-03-27,F,1.6,,31.0,4.860604126315388,,Did not go,,,,,,,,False
Jared Padalecki,1982-07-19,M,1.93,Polish Americans,21.0,4.8603640732362505,Male,Did not go,,,San Antonio Texas US,1982-07-19,,3.0,1999.0,False
Ronn Moss,1952-03-04,M,1.88,,56.0,4.860182309037419,Male,Did not go,Yes,Track,Los Angeles California US,1952-03-04,,2.0,1969.0,False
Bridgette Wilson,1973-09-25,F,1.75,,19.0,4.860052192204524,Female,Did not go,,,Gold Beach Oregon US,1973-09-25,,2.0,1990.0,False
Geoffrey Palmer,1927-06-04,M,1.8,,70.0,4.85990765365242,,Did not go,,,,,,,,False
Margaret Cho,1968-12-05,F,1.65,Korean Americans,28.0,4.859047690905899,Female,San Francisco State University,,,San Francisco California US,1968-12-05,,,1992.0,True
Anatole Taubman,1970-12-23,M,1.84,,37.0,4.8580350378832815,Male,Did not go,,,Zürich Switzerland,1970-12-23,,,1998.0,False
Kirk Cameron,1970-10-12,M,1.78,,16.0,4.85758560301058,Male,Did not go,,,Panorama City Los Angeles California US,1970-10-12,,6.0,1979.0,False
Tammy Blanchard,1976-12-14,F,1.67,,30.0,4.857464410774462,Female,Did not go,Yes,Dance,Bayonne New Jersey UScitation needed,1976-12-14,,1.0,1996.0,False
Kathleen Turner,1954-06-19,F,1.727,White Americans,29.0,4.857441920457063,Female,sub 1500 school,Yes,,Springfield Missouri US,1954-06-19,,1.0,1972.0,False
Nancy Cartwright,1957-10-25,F,1.52,,32.0,4.857350095954143,Female,Ohio University,Yes,,Dayton Ohio US,1957-10-25,,2.0,1980.0,True
Elizabeth Berkley,1972-07-28,F,1.78,Jewish people,23.0,4.85726595276159,Female,Did not go,Yes,Ballet,Farmington Hills Michigan US,,,1.0,1986.0,False
Johnny Depp,1963-06-09,M,1.78,German Americans,21.0,4.857145014083748,Male,Did not go,,,Owensboro Kentucky US,1963-06-09,,2.0,1984.0,False
William Sanderson,1948-01-10,M,1.727,,34.0,4.856754627273012,Male,Did not go,,,,1944-01-10,,,,False
Kenan Thompson,1978-05-10,M,1.73,African Americans,19.0,4.856641251308921,Male,Did not go,Yes,,Atlanta Georgia US1,1978-05-10,,2.0,1994.0,False
Jessalyn Gilsig,1971-11-30,F,1.6,Jewish people,26.0,4.8560120712539785,Female,Harvard University,Yes,,Montreal Quebec Canada,1971-11-30,,1.0,1984.0,True
Greg Bryk,1972,M,1.85,,33.0,4.85544900608137,Male,Did not go,,Football,Winnipeg Manitoba Canada1,1972-08-19,,3.0,1998.0,False
Ellen Sandweiss,1958-12-30,F,1.676,,22.0,4.855292489803677,Female,University of Michigan-Ann Arbor,,,Detroit Michigan US,,,,1978.0,True
Alexander Gould,1994-05-04,M,1.7,Jewish people,3.0,4.853931773935468,Male,Brandeis University,,,Los Angeles California US,1994-05-04,,,1996.0,True
Jay Tavare,1971-03-23,M,1.702,Apache,23.0,4.850691110912253,Male,Did not go,,,,,,,,False
Amanda Michalka,1991-04-10,F,1.68,,18.0,4.850562197726652,Female,Colorado School of Mines,,,Torrance California US,1991-04-10,,,2002.0,True
Heather Wahlquist,1977-05-23,F,1.7,,24.0,4.850162941039009,Female,University of Oklahoma,,,Oklahoma City Oklahoma US,1977-05-23,,1.0,1998.0,True
Bobby Lee,1972-09-17,M,1.64,Korean Americans,7.0,4.850134837905804,Male,Did not go,,,San Diego California,1971-09-17,,,1994.0,False
Thomas Gibson,1962-07-03,M,1.87,,29.0,4.850098999788124,Male,Specialised Music School,Yes,,Charleston South Carolina US,1962-07-03,,3.0,1987.0,False
Charlie Murphy,1959-07-12,M,1.85,African Americans,30.0,4.849188938009534,,Did not go,,,,,,,,False
Franco Columbu,1941-08-17,M,1.65,,40.0,4.848313404019918,Male,Did not go,,,Ollolai,1941-08-07,,,,False
Juicy J,1975-04-05,M,1.83,African Americans,,4.848311797307346,,Did not go,,Track,Memphis Tennessee US,1975-04-05,,2.0,1987.0,False
Spencer Locke,1991-09-20,F,1.71,,13.0,4.847808554728086,Female,Did not go,,,Winter Park Florida US,1991-09-20,,2.0,2003.0,False
Desmond Harrington,1976-10-19,M,1.78,,22.0,4.8475860977122,Male,Did not go,,,Savannah Georgia US,1976-10-19,,,1999.0,False
Taylor Schilling,1984-07-27,F,1.73,,26.0,4.847150687547919,,Fordham University ,Yes,,Boston Massachusetts US,1984-07-27,,,2007.0,True
John Corbett,1961-05-09,M,1.96,,29.0,4.847001961324938,Male,Did not go,Yes,,Wheeling West Virginia US,1961-05-09,,,1987.0,False
Idina Menzel,1971-05-30,F,1.63,Jewish people,34.0,4.846406043665279,Male,York University,Yes,,New York City US,1971-05-30,,1.0,1995.0,True
Chris Pratt,1979-06-21,M,1.88,,28.0,4.846385748930201,Male,Did not go,,Track,Virginia Minnesota US,1979-06-21,,4.0,2000.0,False
Aviva,1984-07-10,F,1.6,,23.0,4.846354510769352,,Did not go,,,,,,,,False
Scott Gerbacia,1984-07-13,M,1.77,,23.0,4.846354510769352,,Did not go,,,,,,,,False
Dylan Walsh,1963-11-17,M,1.79,,26.0,4.845611163496318,Male,University of Virginia,,,Los Angeles California US,1963-11-17,,5.0,1987.0,True
Scott Brady,1924-09-13,M,1.88,,59.0,4.845526906697026,Male,Did not go,Yes,,Brooklyn New York US,1924-09-13,,2.0,1948.0,False
Don Steele,1936-04-01,M,1.93,,48.0,4.845526906697026,Male,Did not go,,,Hollywood California,1936-04-01,,,,False
Marc Blucas,1972-01-11,M,1.88,,29.0,4.845479806258815,Male,Imperial College London,,Basketball,Girard Pennsylvania US,1972-01-11,,2.0,1995.0,True
Julie White,1961-06-04,F,1.73,,39.0,4.845352835335918,Female,Fordham University ,Yes,,San Diego California US,1961-06-04,,1.0,1985.0,True
Roger Allam,1953-10-26,M,1.82,English people,54.0,4.8443915974582135,Male,Did not go,Yes,,Bow London England,1953-10-26,,2.0,1976.0,False
Noah Cyrus,2000-01-08,F,1.38,,8.0,4.844046946420648,Female,Did not go,,,Nashville Tennessee US,2000-01-08,,,2002.0,False
Yuki Amami,1967-08-08,F,1.7,,40.0,4.844046946420648,Female,Did not go,Yes,,Taitō Tokyo Japan,1967-08-08,,,1987.0,False
Kazuko Yoshiyuki,1935-08-09,F,1.57,,72.0,4.844046946420648,Female,Did not go,,,Tokyo Japan,1935-08-09,,,1958.0,False
Blake Lindsley,1973-12-19,F,1.71,,22.0,4.8426655286066165,Female,Yale University,,,Los Angeles California United States,,,,1994.0,True
Chad Lowe,1968-01-15,M,1.74,,34.0,4.842615211907304,Male,Did not go,,,Dayton Ohio US,1968-01-15,,3.0,1984.0,False
Megan Mullally,1958-11-12,F,1.63,Irish Americans,24.0,4.842226523798112,Male,Northwestern University,Yes,Ballet,Los Angeles California US,1958-11-12,,,1979.0,True
Gilbert Gottfried,1955-02-28,M,1.65,Jewish people,32.0,4.842200376410571,Male,Did not go,,,Brooklyn,1955-02-28,,2.0,1970.0,False
Oliver Reed,1938-02-13,M,1.8,English people,45.0,4.841640334128732,Male,sub 1500 school,,,Wimbledon London England,1938-02-13,,2.0,1955.0,False
Christopher Reeve,1952-09-25,M,1.93,,34.0,4.840425673648813,Male,Cornell University,Yes,Soccer,New York City US,1952-09-25,,3.0,1970.0,True
Maggie Grace,1983-09-21,F,1.75,,22.0,4.840188759199874,Female,Did not go,Yes,,Worthington Ohio US,1983-09-21,,1.0,2001.0,False
Kelsey Chow,1991-09-09,F,1.7,,20.0,4.839433263347345,Female,Columbia University,Yes,,Columbia South Carolina US,1991-09-09,,,2005.0,True
Gregory Jbara,1961-09-28,M,1.87,Lebanese Americans,26.0,4.839355025566089,Male,University of Michigan-Ann Arbor,Yes,,Westland Michigan US,1961-09-28,,2.0,1987.0,True
Bess Motta,1958-02-10,F,1.65,,26.0,4.839351348674948,Female,Did not go,,Dance,Woodland Hills California US,1958-02-10,,,1980.0,False
Priscilla Presley,1945-05-24,F,1.63,Scotch-Irish Americans,43.0,4.8384164837699615,Female,Did not go,Yes,,New York City US,1945-05-24,,,1973.0,False
Tom Jones,1940-06-07,M,1.77,Welsh people,60.0,4.83780361326823,,Did not go,,,,,,,,False
Ralph Tresvant,1968-05-16,M,1.72,,23.0,4.837237797237629,Male,Did not go,,Track,Boston,1968-05-16,,,1981.0,False
Clea Duvall,1977-09-25,F,1.65,,20.0,4.837105971638707,Female,Did not go,,,Los Angeles California US,1977-09-25,,,1996.0,False
Milton Berle,1908-07-12,M,1.77,,75.0,4.836976821688612,Male,sub 1500 school,Yes,,New York City US,1908-07-12,,3.0,1913.0,False
Sheb Wooley,1921-04-10,M,1.87,,65.0,4.836504633204557,Male,Colorado School of Mines,,,Erick Oklahoma US,1921-04-10,,,1936.0,True
David Morrissey,1964-06-21,M,1.905,English people,28.0,4.835971665671472,Male,Did not go,Yes,,Liverpool England,1964-06-21,,3.0,1982.0,False
Kevin O%27Donnell,1976-12-21,M,1.8,,33.0,4.835836475530032,,Did not go,,,,,,,,False
Zoe Lister-Jones,1982-09-01,F,1.6,,27.0,4.835836475530032,Female,York University,Yes,Track,Brooklyn New York City US,1982-09-01,,,2004.0,True
Hunt Block,1954-02-16,M,1.91,,56.0,4.835836475530032,Male,Did not go,Yes,,Washington DC US,1953-02-16,,,1981.0,False
August Diehl,1976-01-04,M,1.8,,34.0,4.835836475530032,Male,Specialised Drama School,Yes,,West Berlin West Germany,1976-01-04,,2.0,1998.0,False
Joshua Leonard,1975-06-17,M,1.8,,23.0,4.835496112688797,Male,Did not go,Yes,Dance,Houston Texas US,1975-06-17,,1.0,1999.0,False
Ian Hart,1964-10-08,M,1.727,English people,30.0,4.835102807864856,Male,Did not go,Yes,,Liverpool England,1964-10-08,,2.0,1982.0,False
Fiona Shaw,1958-07-10,F,1.73,Irish people,34.0,4.834831843011992,Male,Did not go,Yes,,Cobh County Cork Ireland,1958-07-10,,,1983.0,False
"Clifton Collins, Jr.",1970-06-16,M,1.727,,29.0,4.833935267073314,Male,Did not go,,Baseball,Los Angeles California US,1970-06-16,,,1990.0,False
Ernest Borgnine,1917-01-24,M,1.75,,64.0,4.8334345233145095,Male,Did not go,,,Hamden Connecticut US,1917-01-24,,4.0,1947.0,False
Corey Stoll,1976-03-14,M,1.87,,34.0,4.833345729214321,Male,York University,Yes,,New York City US,1976-03-14,,1.0,2001.0,True
Paul Bettany,1971-05-27,M,1.905,English people,29.0,4.833198673594962,Male,Specialised Drama School,Yes,Dance,London Englanda,1971-05-27,United KingdomUnited States1,2.0,1992.0,False
Elaine Cassidy,1979-12-31,F,1.57,,5.0,4.832055958565752,Female,Did not go,Yes,,Raheny County Dublin Ireland,1979-12-31,,2.0,1994.0,False
Pat Buttram,1915-06-19,M,1.82,,66.0,4.831682912841003,Male,sub 1500 school,Yes,Dance,Addison Alabama US,1915-06-19,,2.0,1944.0,False
Joey Fatone,1977-01-28,M,1.81,,15.0,4.831119095406382,Male,Did not go,,,New York City,1977-01-28,,,1993.0,False
Cheryl Hines,1965-09-21,F,1.651,,38.0,4.830833197827318,Female,University of Central Florida,Yes,,Miami Beach Florida US,1965-09-21,,1.0,1993.0,True
Tony Danza,1951-04-21,M,1.753,Italian Americans,28.0,4.830390809441233,Male,sub 1500 school,,,New York City New York US,1951-04-21,,4.0,1978.0,False
Vanessa Hudgens,1988-12-14,F,1.6,multiracial Americans,14.0,4.830141916560316,Female,Did not go,,,Salinas California US,1988-12-14,,1.0,1998.0,False
Julie Delpy,1969-12-21,F,1.69,French Americans,23.0,4.830090443475898,Female,New York University (NYU),Yes,,Paris France,1969-12-21,,1.0,1976.0,True
Linda Blair,1959-01-22,F,1.52,Scottish Americans,24.0,4.8298588675076966,Female,Did not go,,,St Louis Missouri US,1959-01-22,,,1968.0,False
Matthew Fox,1966-07-14,M,1.88,Italian Americans,26.0,4.829793987813775,Male,Columbia University,,Football,Abington Pennsylvania US,1966-07-14,,2.0,1992.0,True
Niecy Nash,1970-02-23,F,1.63,African Americans,29.0,4.829717296433489,Female,sub 1500 school,,,Palmdale California US,1970-02-23,,3.0,1995.0,False
Deforest Kelley,1920-01-20,M,1.78,,62.0,4.829279733440076,Male,Did not go,Yes,Football,Toccoa Georgia US,1920-01-20,,,1940.0,False
James Doohan,1920-03-03,M,1.8,,62.0,4.829279733440076,Male,Specialised Drama School,,,Vancouver British Columbia Canada,1920-03-03,,7.0,1952.0,False
Walter Koenig,1936-09-14,M,1.68,Jewish people,45.0,4.829279733440076,Male,Specialised Drama School,Yes,,Chicago Illinois US,1936-09-14,,2.0,1962.0,False
Aaron Eckhart,1968-03-12,M,1.83,,28.0,4.828598560516421,Male,Brigham Young University,Yes,,Cupertino California US,1968-03-12,,,1992.0,True
Kim Chan,1917-12-28,M,1.73,,79.0,4.828194103125119,Male,Did not go,,,Guangdong Republic of China,,,,1951.0,False
Jonathan Walker,1967-09-13,M,1.87,,33.0,4.828176864585744,,Did not go,,,,,,,,False
Jake T. Austin,1994-12-03,M,1.7,Polish Americans,11.0,4.827377088280449,Male,Did not go,,,New York City US,1994-12-03,,,2002.0,False
Fat Joe,1970-08-19,M,1.85,Stateside Puerto Ricans,33.0,4.826987156862774,Male,Did not go,,,The Bronx,1970-08-19,,3.0,1992.0,False
Grant Rosenmeyer,1991-07-03,M,1.68,,10.0,4.826905226879436,Male,Did not go,,,Manhasset New York US,1991-07-03,,,2000.0,False
Samuel West,1966-06-19,M,1.82,British,32.0,4.826771114338024,Male,Did not go,Yes,,Hammersmith London England1,1966-06-19,,2.0,1975.0,False
Alexander Siddig,1965-11-21,M,1.822,Sudanese Arabs,35.0,4.826251916636714,Male,Specialised Drama School,Yes,,Omdurman Khartoum Sudan,1965-11-21,,1.0,1987.0,False
Adrienne Barbeau,1945-06-11,F,1.594,Armenians,35.0,4.825932011881906,Female,sub 1500 school,,,Sacramento California US,1945-06-11,,3.0,1968.0,False
Marc Alaimo,1942-05-05,M,1.829,,46.0,4.825885204818306,Male,Did not go,Yes,,Milwaukee Wisconsin US,,,2.0,1971.0,False
Christina Hendricks,1975-05-03,F,1.71,,35.0,4.825745227437548,Male,Colorado School of Mines,Yes,Ballet,Knoxville Tennessee US,1975-05-03,AmericanBritish,,1994.0,True
Rob Corddry,1971-02-04,M,1.8,,36.0,4.825625959956542,Male,University of Massachusetts Amherst,Yes,,Weymouth Massachusetts US,1971-02-04,,2.0,1998.0,True
Roger Bart,1962-09-29,M,1.8,,34.0,4.825280112069955,Male,Rutgers University–New Brunswick,Yes,,Norwalk Connecticut US,1962-09-29,,,1987.0,True
Mariel Hemingway,1961-11-22,F,1.8,,20.0,4.825276734843506,Female,Boston University,,Track,Mill Valley California US,1961-11-22,,,1976.0,True
Dominic West,1969-10-15,M,1.83,English people,29.0,4.825250493837965,Male,Specialised Drama School,,,Sheffield England,1969-10-15,,5.0,1991.0,False
Jon Bon Jovi,1962-03-02,M,1.753,Italian Americans,38.0,4.824160412432337,Male,Did not go,,,Perth Amboy New Jersey US,1962-03-02,,4.0,1975.0,False
"Randall ""tex"" Cobb",1950-05-07,M,1.91,,36.0,4.823747432211495,,Did not go,,,,,,,,False
Meghan Markle,1981-08-04,F,1.71,,23.0,4.822888354694875,Female,Northwestern University,,, US,1981-08-04,,,2001.0,True
Martin Clunes,1961-11-28,M,1.892,,37.0,4.82276907661314,Male,Specialised Arts School,Yes,Dance,Wimbledon Surrey England,1961-11-28,,1.0,1982.0,False
Minka Kelly,1980-06-24,F,1.73,,27.0,4.822656351113194,Female,Did not go,,,Los Angeles California US,1980-06-24,,,2002.0,False
Alex Vincent,1981-04-29,M,1.66,,7.0,4.822653647326997,,Did not go,,,,,,,,False
Samm Levine,1982-03-12,M,1.63,,19.0,4.821801626818655,Male,Did not go,,,Park Ridge Illinois US,1982-03-12,,,1997.0,False
John Neville,1925-05-02,M,1.87,,63.0,4.821717289666181,,Did not go,,,,,,,,False
Liza Tarbuck,1964-11-21,F,1.715,,47.0,4.821686450619228,Female,Specialised Drama School,Yes,,Liverpool England,1964-11-21,,,1986.0,False
Eartha Kitt,1927-01-17,F,1.63,African Americans,65.0,4.821136875429119,Female,Did not go,Yes,,North South Carolina US12,1927-01-17,,1.0,1942.0,False
Peter Outerbridge,1966-06-30,M,1.77,,27.0,4.820832831933544,Male,Did not go,Yes,,Toronto Ontario Canada,1966-06-30,,2.0,1990.0,False
Seth MacFarlane,1973-10-26,M,1.78,,36.0,4.820117293777344,Male,sub 1500 school,,Track,Kent Connecticut US,1973-10-26,,,1995.0,False
Logan Marshall-Green,1976-11-01,M,1.8,,30.0,4.819979003094427,Male,York University,Yes,Swimming,Charleston South Carolina US,1976-11-01,,2.0,2003.0,True
Debbie Reynolds,1932-04-01,F,1.57,White Americans,60.0,4.81954208890813,Female,Did not go,,Dance,El Paso Texas US,1932-04-01,,,1948.0,False
Orso Maria Guerrini,1943-10-25,M,1.8,,58.0,4.819442258213829,Male,Did not go,,,Florence Italy,1943-10-25,,,,False
Kevin McKidd,1973-08-09,M,1.83,Scottish people,25.0,4.819422030068233,Male,sub 1500 school,Yes,,Elgin Moray Scotland,1973-08-09,"United Kingdom, United States since 2015",4.0,1991.0,False
Evan Rachel Wood,1987-09-07,F,1.68,French Americans,11.0,4.818708923331283,Female,Did not go,Yes,,Raleigh North Carolina US,1987-09-07,,1.0,1993.0,False
Dick Cavett,1936-11-19,M,1.68,,50.0,4.818583283753774,Male,Yale University,,,Buffalo County Nebraska US,1936-11-19,,,1959.0,True
Brandon T. Jackson,1984-03-07,M,1.7,African Americans,24.0,4.818354795844948,Male,Did not go,,,Detroit Michigan US,1984-03-07,,4.0,1997.0,False
Tony Bennett,1926-08-03,M,1.71,Italian Americans,76.0,4.817940352580871,Male,Did not go,,,New York City US,1926-08-03,,4.0,1936.0,False
Mahershalalhashbaz Ali,1974-02-16,M,1.87,,34.0,4.81725816979512,Male,York University,Yes,Dance,Oakland California US,1974-02-16,,1.0,2001.0,True
Robert Goulet,1933-11-26,M,1.82,,54.0,4.817244258908652,Male,Specialised Music School,Yes,Basketball,Lawrence Massachusetts US,1933-11-26,,3.0,1951.0,False
Bailee Madison,1999-10-15,F,1.45,White people,7.0,4.817086560730998,Female,Did not go,,Dance,Fort Lauderdale Florida US,1999-10-15,United StatesCanada1,,2005.0,False
Lynn Redgrave,1943-03-08,F,1.753,,52.0,4.817053436341881,Female,Specialised Drama School,Yes,,Marylebone London England,1943-03-08,United Kingdom United States,3.0,1962.0,False
Richard Libertini,1933-05-21,M,1.86,,50.0,4.816866542128687,Male,sub 1500 school,,,Cambridge Massachusetts US,1933-05-21,,1.0,1966.0,False
Devon Sawa,1978-09-07,M,1.83,,16.0,4.815826932827529,Male,Did not go,,,Vancouver British Columbia Canada,1978-09-07,,2.0,1994.0,False
Robert Stack,1919-01-13,M,1.81,,61.0,4.815437480262686,Male,Did not go,,,Los Angeles California US,1919-01-13,,2.0,1934.0,False
Kevin Nealon,1953-11-18,M,1.93,White Americans,33.0,4.815282707116386,Male,Specialised Arts School,,Football,St Louis,1953-11-18,,1.0,1978.0,False
Hope Lange,1933-11-28,F,1.57,,51.0,4.815205295874693,Female,sub 1500 school,Yes,Dance,Redding Connecticut US,1933-11-28,,2.0,1942.0,False
Rob Riggle,1970-04-21,M,1.91,,36.0,4.814773159392004,Male,University of Kansas,Yes,,Louisville Kentucky US,1970-04-21,,2.0,1998.0,True
Jillian Bach,1973-04-27,F,1.52,,36.0,4.814741221677831,Female,Did not go,,,Palm Beach Gardens Florida US,1973-04-27,,,1998.0,False
Suzie Plakson,1958-06-03,F,1.87,,39.0,4.81472508827079,Female,Northwestern University,,,Buffalo New York US,,,,1987.0,True
Charles A. Tamburro,1946,M,1.88,,36.0,4.814335991098811,,Did not go,,,,,,,,False
Heike Makatsch,1971-08-13,F,1.73,Germans,30.0,4.814116413710288,Female,Did not go,,,Düsseldorf West Germany,1971-08-13,,3.0,1993.0,False
Sofía Vergara,1972-07-10,F,1.7,Colombians,29.0,4.814060139353765,Female,Did not go,,,Barranquilla Atlántico Colombia,1972-07-10,"Colombia by birthplace, United States naturalized",1.0,1995.0,False
Pip Mushin,1963,M,1.8,,42.0,4.813982932820103,,Did not go,,,,,,,,False
Sebastian Koch,1962-05-31,M,1.81,Germans,43.0,4.813593271576829,Male,Did not go,,,Karlsruhe BadenWürttemberg West Germany,1962-05-31,,2.0,1990.0,False
Kirk Acevedo,1971-11-27,M,1.77,,27.0,4.8134784766097525,Male,sub 1500 school,,,New York City US1,1971-11-27,,1.0,1994.0,False
Mizuo Peck,1977-08-18,F,1.68,Cherokee,29.0,4.813380237051657,Female,sub 1500 school,Yes,,New York City New York US,1977-08-18,,1.0,2000.0,False
Valerie Azlynn,1980-11-25,F,1.75,,27.0,4.812748557935097,Female,Did not go,Yes,,New London Connecticut US,1980-11-25,,,1998.0,False
Jasmine Dustin,1983-01-01,F,1.71,,25.0,4.812748557935097,,Did not go,,,,,,,,False
Trieu Tran,,M,1.73,Asian people,,4.812748557935097,Male,Did not go,,,,,,,,False
Kaye Marie Talise,,F,1.69,White people,,4.812748557935097,,Did not go,,,,,,,,False
Brandon Soo Hoo,1995-11-02,M,1.49,,12.0,4.812748557935097,Male,Did not go,,,Pasadena California US,1995-11-02,,,2007.0,False
Lance Bass,1979-05-04,M,1.753,,29.0,4.812748557935097,Male,Did not go,,,Laurel Mississippi US,1979-05-04,,2.0,1994.0,False
Mika Boorem,1987-08-18,F,1.67,,11.0,4.811008197608868,Female,Did not go,,,Tucson Arizona US,1987-08-18,,,1995.0,False
Om Puri,1950-10-18,M,1.78,,43.0,4.81097687560595,Male,Specialised Drama School,Yes,Track,Ambala Punjab India,1950-10-18,,1.0,1972.0,False
Rumi Hiiragi,1987-08-01,F,1.55,,20.0,4.810743595239194,Female,Did not go,,Baseball,Tokyo Japan,1987-08-01,,,1994.0,False
Matthew Beard,1989-03-25,M,1.85,,19.0,4.81019883142743,,Did not go,,,,,,,,False
Lucy Liu,1968-12-02,F,1.6,Taiwanese Americans,28.0,4.8094818562828845,Female,University of Michigan-Ann Arbor,Yes,,Queens New York City US,1968-12-02,,1.0,1991.0,True
Shalom Harlow,1973-12-05,F,1.8,,23.0,4.809094703938832,Female,Did not go,,Ballet,Oshawa Ontario Canada1,1973-12-05,,,,False
Geena Davis,1956-01-21,F,1.829,,26.0,4.808637775536373,Male,sub 1500 school,,,Wareham Massachusetts US,1956-01-21,,3.0,1982.0,False
James Naughton,1945-12-06,M,1.85,,39.0,4.808294286665794,Male,Yale University,Yes,,Middletown Connecticut US,1945-12-06,,2.0,1971.0,True
Katherine Helmond,1929-07-05,F,1.57,,52.0,4.807527235483689,Female,Did not go,Yes,Football,Galveston Texas US,1929-07-05,,,1955.0,False
Vanessa Lee Chester,1984-07-02,F,1.6,African Americans,10.0,4.807438695591511,Male,University of Southern California,,,Brooklyn New York US,1984-07-02,,,1992.0,True
Geoffrey Rush,1951-07-06,M,1.83,,44.0,4.807170701873477,Male,The University of Queensland,Yes,,Toowoomba Queensland Australia,1951-07-06,,2.0,1971.0,True
Susan Egan,1970-02-18,F,1.613,,27.0,4.806951632183543,Female,California State University - Los Angeles,,Dance,Seal Beach California US,1970-02-18,,2.0,1992.0,True
Tom Towles,1950-03-20,M,1.91,,36.0,4.80682085292828,Male,Did not go,Yes,,Chicago Illinois US,1950-03-20,,,1971.0,False
Bobby Cannavale,1970-05-03,M,1.88,,28.0,4.805799305327937,Male,Did not go,Yes,Dance,Union City New Jersey US,1970-05-03,,3.0,1996.0,False
Eddie Redmayne,1982-01-06,M,1.8,English people,24.0,4.805316079198293,Male,University of Cambridge,Yes,,London England,1982-01-06,,2.0,1998.0,True
Spike Lee,1957-03-20,M,1.68,African Americans,30.0,4.804816745920082,Male,York University,,,Atlanta Georgia US,1957-03-20,,2.0,1977.0,True
Gina Carano,1982-04-16,F,1.73,,29.0,4.804620420529203,Female,Did not go,,Football, US,1982-04-16,,,2006.0,False
Brett Cullen,1956-08-26,M,1.8796,,43.0,4.804449777828111,Male,University of Houston,,,Houston Texas US,1956-08-26,,1.0,1979.0,True
Penny Drake,1976-07-27,F,1.8,,28.0,4.803785196475707,Female,Did not go,,,San Antonio TexasUnited States,1977-07-20,,,2005.0,False
Paul McGann,1959-11-14,M,1.74,English people,28.0,4.8037267264217975,Male,Specialised Drama School,,,Kensington Liverpool England,1959-11-14,,,1982.0,False
Emeril Lagasse,1959-10-15,M,1.71,Portuguese Americans,46.0,4.803469554805687,Male,Did not go,,,Fall River Massachusetts US,1959-10-15,,,,False
Alyssa Shafer,1998-07-10,F,1.24,Italians,7.0,4.802964628021992,,Did not go,,,,,,,,False
Angelica Mandy,1992-08-25,F,1.56,,12.0,4.802827901593342,Male,Did not go,,,,,,,,False
Roger Lloyd Pack,1944-02-08,M,1.88,White British,60.0,4.802827901593342,Male,Did not go,Yes,,Islington London England,1944-02-08,,4.0,1960.0,False
Brittany Snow,1986-03-09,F,1.63,,18.0,4.801645244918526,Female,Did not go,,Track,Tampa Florida US,1986-03-09,,,1994.0,False
Maria Menounos,1978-06-08,F,1.721,Greek Americans,27.0,4.801186934270583,Female,sub 1500 school,,,Medford Massachusetts US,1978-06-08,United StatesGreece,1.0,1996.0,False
John Hurt,1940-01-22,M,1.75,English people,40.0,4.800987011434952,Male,Specialised Drama School,Yes,,Chesterfield Derbyshire England,1940-01-22,,2.0,1961.0,False
Masi Oka,1974-12-27,M,1.676,Japanese Americans,29.0,4.800904497228286,Male,Brown University,Yes,,Shibuya Tokyo Japan,1974-12-27,,,1998.0,True
Adam Godley,1964-07-22,M,1.854,,39.0,4.80088824640702,Male,sub 1500 school,Yes,,Amersham England,1964-07-22,,,1974.0,False
Sarah Clarke,1972-02-16,F,1.62,,30.0,4.800819997227609,Female,Did not go,Yes,,St Louis Missouri US,1972-02-16,,2.0,2000.0,False
