,Actor name,Gender,Height,Ethnicity,Age at First Release,Success Score,University,Theater,Sports,Birth City,Citizenship,Number of Children,Birth Year,Birth Month,QS University Rank,Ranked Uni,Usable Uni Rank,Specialised Drama School,Specialised Acting School,Specialised Dance School,Specialised Arts School,Birth Region
1605,Desmond Harrington,M,1.78,,22.0,4.8475860977122,Did not go,False,No Sports,Savannah Georgia US,,,1976.0,October,Not Ranked,0,3000,0,0,0,0,USA
1606,Taylor Schilling,F,1.73,,26.0,4.847150687547919,Fordham University ,True,No Sports,Boston Massachusetts US,,,1984.0,July,1001,1,1001,0,0,0,0,USA
1607,John Corbett,M,1.96,,29.0,4.847001961324938,Did not go,True,No Sports,Wheeling West Virginia US,,,1961.0,May,Not Ranked,0,3000,0,0,0,0,USA
1608,Idina Menzel,F,1.63,Jewish people,34.0,4.846406043665279,York University,True,No Sports,New York City US,,1.0,1971.0,May,353,1,353,0,0,0,0,USA
1609,Chris Pratt,M,1.88,,28.0,4.846385748930201,Did not go,False,Track,Virginia Minnesota US,,4.0,1979.0,June,Not Ranked,0,3000,0,0,0,0,USA
1610,Aviva,F,1.6,,23.0,4.846354510769352,Did not go,False,No Sports,,,,1984.0,July,Not Ranked,0,3000,0,0,0,0,
1611,Scott Gerbacia,M,1.77,,23.0,4.846354510769352,Did not go,False,No Sports,,,,1984.0,July,Not Ranked,0,3000,0,0,0,0,
1612,Dylan Walsh,M,1.79,,26.0,4.845611163496318,University of Virginia,False,No Sports,Los Angeles California US,,5.0,1963.0,November,260,1,260,0,0,0,0,USA
1613,Scott Brady,M,1.88,,59.0,4.845526906697026,Did not go,True,No Sports,Brooklyn New York US,,2.0,1924.0,September,Not Ranked,0,3000,0,0,0,0,USA
1614,Don Steele,M,1.93,,48.0,4.845526906697026,Did not go,False,No Sports,Hollywood California,,,1936.0,April,Not Ranked,0,3000,0,0,0,0,Rest of World
1615,Marc Blucas,M,1.88,,29.0,4.845479806258815,Imperial College London,False,Basketball,Girard Pennsylvania US,,2.0,1972.0,January,6,1,6,0,0,0,0,USA
1616,Julie White,F,1.73,,39.0,4.845352835335918,Fordham University ,True,No Sports,San Diego California US,,1.0,1961.0,June,1001,1,1001,0,0,0,0,USA
1617,Roger Allam,M,1.82,English people,54.0,4.8443915974582135,Did not go,True,No Sports,Bow London England,,2.0,1953.0,October,Not Ranked,0,3000,0,0,0,0,United Kingdom
1618,Noah Cyrus,F,1.38,,8.0,4.844046946420648,Did not go,False,No Sports,Nashville Tennessee US,,,2000.0,January,Not Ranked,0,3000,0,0,0,0,USA
1619,Yuki Amami,F,1.7,,40.0,4.844046946420648,Did not go,True,No Sports,Taitō Tokyo Japan,,,1967.0,August,Not Ranked,0,3000,0,0,0,0,Rest of World
1620,Kazuko Yoshiyuki,F,1.57,,72.0,4.844046946420648,Did not go,False,No Sports,Tokyo Japan,,,1935.0,August,Not Ranked,0,3000,0,0,0,0,Rest of World
1621,Blake Lindsley,F,1.71,,22.0,4.8426655286066165,Yale University,False,No Sports,Los Angeles California United States,,,1973.0,December,16,1,16,0,0,0,0,USA
1622,Chad Lowe,M,1.74,,34.0,4.842615211907304,Did not go,False,No Sports,Dayton Ohio US,,3.0,1968.0,January,Not Ranked,0,3000,0,0,0,0,USA
1623,Megan Mullally,F,1.63,Irish Americans,24.0,4.842226523798112,Northwestern University,True,Ballet,Los Angeles California US,,,1958.0,November,47,1,47,0,0,0,0,USA
1624,Gilbert Gottfried,M,1.65,Jewish people,32.0,4.842200376410571,Did not go,False,No Sports,Brooklyn,,2.0,1955.0,February,Not Ranked,0,3000,0,0,0,0,USA
1625,Oliver Reed,M,1.8,English people,45.0,4.841640334128732,sub 1500 school,False,No Sports,Wimbledon London England,,2.0,1938.0,February,Not Ranked,0,3000,0,0,0,0,United Kingdom
1626,Christopher Reeve,M,1.93,,34.0,4.840425673648813,Cornell University,True,Soccer,New York City US,,3.0,1952.0,September,13,1,13,0,0,0,0,USA
1627,Maggie Grace,F,1.75,,22.0,4.840188759199874,Did not go,True,No Sports,Worthington Ohio US,,1.0,1983.0,September,Not Ranked,0,3000,0,0,0,0,USA
1628,Kelsey Chow,F,1.7,,20.0,4.839433263347345,Columbia University,True,No Sports,Columbia South Carolina US,,,1991.0,September,23,1,23,0,0,0,0,USA
1629,Gregory Jbara,M,1.87,Lebanese Americans,26.0,4.839355025566089,University of Michigan-Ann Arbor,True,No Sports,Westland Michigan US,,2.0,1961.0,September,33,1,33,0,0,0,0,USA
1630,Bess Motta,F,1.65,,26.0,4.839351348674948,Did not go,False,Dance,Woodland Hills California US,,,1958.0,February,Not Ranked,0,3000,0,0,0,0,USA
1631,Priscilla Presley,F,1.63,Scotch-Irish Americans,43.0,4.8384164837699615,Did not go,True,No Sports,New York City US,,,1945.0,May,Not Ranked,0,3000,0,0,0,0,USA
1632,Tom Jones,M,1.77,Welsh people,60.0,4.83780361326823,Did not go,False,No Sports,,,,1940.0,June,Not Ranked,0,3000,0,0,0,0,
1633,Ralph Tresvant,M,1.72,,23.0,4.837237797237629,Did not go,False,Track,Boston,,,1968.0,May,Not Ranked,0,3000,0,0,0,0,Rest of World
1634,Clea Duvall,F,1.65,,20.0,4.837105971638707,Did not go,False,No Sports,Los Angeles California US,,,1977.0,September,Not Ranked,0,3000,0,0,0,0,USA
1635,Milton Berle,M,1.77,,75.0,4.836976821688612,sub 1500 school,True,No Sports,New York City US,,3.0,1908.0,July,Not Ranked,0,3000,0,0,0,0,USA
1636,Sheb Wooley,M,1.87,,65.0,4.836504633204557,Colorado School of Mines,False,No Sports,Erick Oklahoma US,,,1921.0,April,465,1,465,0,0,0,0,USA
1637,David Morrissey,M,1.905,English people,28.0,4.835971665671472,Did not go,True,No Sports,Liverpool England,,3.0,1964.0,June,Not Ranked,0,3000,0,0,0,0,United Kingdom
1638,Kevin O%27Donnell,M,1.8,,33.0,4.835836475530032,Did not go,False,No Sports,,,,1976.0,December,Not Ranked,0,3000,0,0,0,0,
1639,Zoe Lister-Jones,F,1.6,,27.0,4.835836475530032,York University,True,Track,Brooklyn New York City US,,,1982.0,September,353,1,353,0,0,0,0,USA
1640,Hunt Block,M,1.91,,56.0,4.835836475530032,Did not go,True,No Sports,Washington DC US,,,1954.0,February,Not Ranked,0,3000,0,0,0,0,USA
1641,August Diehl,M,1.8,,34.0,4.835836475530032,Specialised Drama School,True,No Sports,West Berlin West Germany,,2.0,1976.0,January,Not Ranked,0,3000,1,0,0,0,Europe
1642,Joshua Leonard,M,1.8,,23.0,4.835496112688797,Did not go,True,Dance,Houston Texas US,,1.0,1975.0,June,Not Ranked,0,3000,0,0,0,0,USA
1643,Ian Hart,M,1.727,English people,30.0,4.835102807864856,Did not go,True,No Sports,Liverpool England,,2.0,1964.0,October,Not Ranked,0,3000,0,0,0,0,United Kingdom
1644,Fiona Shaw,F,1.73,Irish people,34.0,4.834831843011992,Did not go,True,No Sports,Cobh County Cork Ireland,,,1958.0,July,Not Ranked,0,3000,0,0,0,0,United Kingdom
1645,"Clifton Collins, Jr.",M,1.727,,29.0,4.833935267073314,Did not go,False,Baseball,Los Angeles California US,,,1970.0,June,Not Ranked,0,3000,0,0,0,0,USA
1646,Ernest Borgnine,M,1.75,,64.0,4.8334345233145095,Did not go,False,No Sports,Hamden Connecticut US,,4.0,1917.0,January,Not Ranked,0,3000,0,0,0,0,USA
1647,Corey Stoll,M,1.87,,34.0,4.833345729214321,York University,True,No Sports,New York City US,,1.0,1976.0,March,353,1,353,0,0,0,0,USA
1648,Paul Bettany,M,1.905,English people,29.0,4.833198673594962,Specialised Drama School,True,Dance,London Englanda,United KingdomUnited States1,2.0,1971.0,May,Not Ranked,0,3000,1,0,0,0,United Kingdom
1649,Elaine Cassidy,F,1.57,,5.0,4.832055958565752,Did not go,True,No Sports,Raheny County Dublin Ireland,,2.0,1979.0,December,Not Ranked,0,3000,0,0,0,0,United Kingdom
1650,Pat Buttram,M,1.82,,66.0,4.831682912841003,sub 1500 school,True,Dance,Addison Alabama US,,2.0,1915.0,June,Not Ranked,0,3000,0,0,0,0,USA
1651,Joey Fatone,M,1.81,,15.0,4.831119095406382,Did not go,False,No Sports,New York City,,,1977.0,January,Not Ranked,0,3000,0,0,0,0,USA
1652,Cheryl Hines,F,1.651,,38.0,4.830833197827318,University of Central Florida,True,No Sports,Miami Beach Florida US,,1.0,1965.0,September,593,1,593,0,0,0,0,USA
1653,Tony Danza,M,1.753,Italian Americans,28.0,4.830390809441233,sub 1500 school,False,No Sports,New York City New York US,,4.0,1951.0,April,Not Ranked,0,3000,0,0,0,0,USA
1654,Vanessa Hudgens,F,1.6,multiracial Americans,14.0,4.830141916560316,Did not go,False,No Sports,Salinas California US,,1.0,1988.0,December,Not Ranked,0,3000,0,0,0,0,USA
1655,Julie Delpy,F,1.69,French Americans,23.0,4.830090443475898,New York University (NYU),True,No Sports,Paris France,,1.0,1969.0,December,38,1,38,0,0,0,0,Europe
1656,Linda Blair,F,1.52,Scottish Americans,24.0,4.8298588675076966,Did not go,False,No Sports,St Louis Missouri US,,,1959.0,January,Not Ranked,0,3000,0,0,0,0,USA
1657,Matthew Fox,M,1.88,Italian Americans,26.0,4.829793987813775,Columbia University,False,Football,Abington Pennsylvania US,,2.0,1966.0,July,23,1,23,0,0,0,0,USA
1658,Niecy Nash,F,1.63,African Americans,29.0,4.829717296433489,sub 1500 school,False,No Sports,Palmdale California US,,3.0,1970.0,February,Not Ranked,0,3000,0,0,0,0,USA
1659,Deforest Kelley,M,1.78,,62.0,4.829279733440076,Did not go,True,Football,Toccoa Georgia US,,,1920.0,January,Not Ranked,0,3000,0,0,0,0,USA
1660,James Doohan,M,1.8,,62.0,4.829279733440076,Specialised Drama School,False,No Sports,Vancouver British Columbia Canada,,7.0,1920.0,March,Not Ranked,0,3000,1,0,0,0,Rest of World
1661,Walter Koenig,M,1.68,Jewish people,45.0,4.829279733440076,Specialised Drama School,True,No Sports,Chicago Illinois US,,2.0,1936.0,September,Not Ranked,0,3000,1,0,0,0,USA
1662,Aaron Eckhart,M,1.83,,28.0,4.828598560516421,Brigham Young University,True,No Sports,Cupertino California US,,,1968.0,March,1001,1,1001,0,0,0,0,USA
1663,Kim Chan,M,1.73,,79.0,4.828194103125119,Did not go,False,No Sports,Guangdong Republic of China,,,1917.0,December,Not Ranked,0,3000,0,0,0,0,Rest of World
1664,Jonathan Walker,M,1.87,,33.0,4.828176864585744,Did not go,False,No Sports,,,,1967.0,September,Not Ranked,0,3000,0,0,0,0,
1665,Jake T. Austin,M,1.7,Polish Americans,11.0,4.827377088280449,Did not go,False,No Sports,New York City US,,,1994.0,December,Not Ranked,0,3000,0,0,0,0,USA
1666,Fat Joe,M,1.85,Stateside Puerto Ricans,33.0,4.826987156862774,Did not go,False,No Sports,The Bronx,,3.0,1970.0,August,Not Ranked,0,3000,0,0,0,0,Rest of World
1667,Grant Rosenmeyer,M,1.68,,10.0,4.826905226879436,Did not go,False,No Sports,Manhasset New York US,,,1991.0,July,Not Ranked,0,3000,0,0,0,0,USA
1668,Samuel West,M,1.82,British,32.0,4.826771114338024,Did not go,True,No Sports,Hammersmith London England1,,2.0,1966.0,June,Not Ranked,0,3000,0,0,0,0,United Kingdom
1669,Alexander Siddig,M,1.822,Sudanese Arabs,35.0,4.826251916636714,Specialised Drama School,True,No Sports,Omdurman Khartoum Sudan,,1.0,1965.0,November,Not Ranked,0,3000,1,0,0,0,Rest of World
1670,Adrienne Barbeau,F,1.594,Armenians,35.0,4.825932011881906,sub 1500 school,False,No Sports,Sacramento California US,,3.0,1945.0,June,Not Ranked,0,3000,0,0,0,0,USA
1671,Marc Alaimo,M,1.829,,46.0,4.825885204818306,Did not go,True,No Sports,Milwaukee Wisconsin US,,2.0,1942.0,May,Not Ranked,0,3000,0,0,0,0,USA
1672,Christina Hendricks,F,1.71,,35.0,4.825745227437548,Colorado School of Mines,True,Ballet,Knoxville Tennessee US,AmericanBritish,,1975.0,May,465,1,465,0,0,0,0,USA
1673,Rob Corddry,M,1.8,,36.0,4.825625959956542,University of Massachusetts Amherst,True,No Sports,Weymouth Massachusetts US,,2.0,1971.0,February,245,1,245,0,0,0,0,USA
1674,Roger Bart,M,1.8,,34.0,4.825280112069955,Rutgers University–New Brunswick,True,No Sports,Norwalk Connecticut US,,,1962.0,September,299,1,299,0,0,0,0,USA
1675,Mariel Hemingway,F,1.8,,20.0,4.825276734843506,Boston University,False,Track,Mill Valley California US,,,1961.0,November,93,1,93,0,0,0,0,USA
1676,Dominic West,M,1.83,English people,29.0,4.825250493837965,Specialised Drama School,False,No Sports,Sheffield England,,5.0,1969.0,October,Not Ranked,0,3000,1,0,0,0,United Kingdom
1677,Jon Bon Jovi,M,1.753,Italian Americans,38.0,4.824160412432337,Did not go,False,No Sports,Perth Amboy New Jersey US,,4.0,1962.0,March,Not Ranked,0,3000,0,0,0,0,USA
1678,Randall Tex Cobb,M,1.91,,36.0,4.823747432211495,sub 1500 school,False,Football Martial arts Boxing,USA,United States,2.0,1950.0,May,Not Ranked,0,3000,0,0,0,0,
1679,Meghan Markle,F,1.71,,23.0,4.822888354694875,Northwestern University,False,No Sports, US,,,1981.0,August,47,1,47,0,0,0,0,USA
1680,Martin Clunes,M,1.892,,37.0,4.82276907661314,Specialised Arts School,True,Dance,Wimbledon Surrey England,,1.0,1961.0,November,Not Ranked,0,3000,0,0,0,1,United Kingdom
1681,Minka Kelly,F,1.73,,27.0,4.822656351113194,Did not go,False,No Sports,Los Angeles California US,,,1980.0,June,Not Ranked,0,3000,0,0,0,0,USA
1682,Alex Vincent,M,1.66,,7.0,4.822653647326997,Did not go,False,No Sports,,,,1981.0,April,Not Ranked,0,3000,0,0,0,0,
1683,Samm Levine,M,1.63,,19.0,4.821801626818655,Did not go,False,No Sports,Park Ridge Illinois US,,,1982.0,March,Not Ranked,0,3000,0,0,0,0,USA
1684,John Neville,M,1.87,,63.0,4.821717289666181,Did not go,False,No Sports,,,,1925.0,May,Not Ranked,0,3000,0,0,0,0,
1685,Liza Tarbuck,F,1.715,,47.0,4.821686450619228,Specialised Drama School,True,No Sports,Liverpool England,,,1964.0,November,Not Ranked,0,3000,1,0,0,0,United Kingdom
1686,Eartha Kitt,F,1.63,African Americans,65.0,4.821136875429119,Did not go,True,No Sports,North South Carolina US12,,1.0,1927.0,January,Not Ranked,0,3000,0,0,0,0,USA
1687,Peter Outerbridge,M,1.77,,27.0,4.820832831933544,Did not go,True,No Sports,Toronto Ontario Canada,,2.0,1966.0,June,Not Ranked,0,3000,0,0,0,0,Rest of World
1688,Seth MacFarlane,M,1.78,,36.0,4.820117293777344,sub 1500 school,False,Track,Kent Connecticut US,,,1973.0,October,Not Ranked,0,3000,0,0,0,0,USA
1689,Logan Marshall-Green,M,1.8,,30.0,4.819979003094427,York University,True,Swimming,Charleston South Carolina US,,2.0,1976.0,November,353,1,353,0,0,0,0,USA
1690,Debbie Reynolds,F,1.57,White Americans,60.0,4.81954208890813,Did not go,False,Dance,El Paso Texas US,,,1932.0,April,Not Ranked,0,3000,0,0,0,0,USA
1691,Orso Maria Guerrini,M,1.8,,58.0,4.819442258213829,Did not go,False,No Sports,Florence Italy,,,1943.0,October,Not Ranked,0,3000,0,0,0,0,Europe
1692,Kevin McKidd,M,1.83,Scottish people,25.0,4.819422030068233,sub 1500 school,True,No Sports,Elgin Moray Scotland,"United Kingdom, United States since 2015",4.0,1973.0,August,Not Ranked,0,3000,0,0,0,0,United Kingdom
1693,Evan Rachel Wood,F,1.68,French Americans,11.0,4.818708923331283,Did not go,True,No Sports,Raleigh North Carolina US,,1.0,1987.0,September,Not Ranked,0,3000,0,0,0,0,USA
1694,Dick Cavett,M,1.68,,50.0,4.818583283753774,Yale University,False,No Sports,Buffalo County Nebraska US,,,1936.0,November,16,1,16,0,0,0,0,USA
1695,Brandon T. Jackson,M,1.7,African Americans,24.0,4.818354795844948,Did not go,False,No Sports,Detroit Michigan US,,4.0,1984.0,March,Not Ranked,0,3000,0,0,0,0,USA
1696,Tony Bennett,M,1.71,Italian Americans,76.0,4.817940352580871,Did not go,False,No Sports,New York City US,,4.0,1926.0,August,Not Ranked,0,3000,0,0,0,0,USA
1697,Mahershalalhashbaz Ali,M,1.87,,34.0,4.81725816979512,York University,True,Dance,Oakland California US,,1.0,1974.0,February,353,1,353,0,0,0,0,USA
1698,Robert Goulet,M,1.82,,54.0,4.817244258908652,Specialised Music School,True,Basketball,Lawrence Massachusetts US,,3.0,1933.0,November,Not Ranked,0,3000,0,0,0,0,USA
1699,Bailee Madison,F,1.45,White people,7.0,4.817086560730998,Did not go,False,Dance,Fort Lauderdale Florida US,United StatesCanada1,,1999.0,October,Not Ranked,0,3000,0,0,0,0,USA
1700,Lynn Redgrave,F,1.753,,52.0,4.817053436341881,Specialised Drama School,True,No Sports,Marylebone London England,United Kingdom United States,3.0,1943.0,March,Not Ranked,0,3000,1,0,0,0,United Kingdom
1701,Richard Libertini,M,1.86,,50.0,4.816866542128687,sub 1500 school,False,No Sports,Cambridge Massachusetts US,,1.0,1933.0,May,Not Ranked,0,3000,0,0,0,0,USA
1702,Devon Sawa,M,1.83,,16.0,4.815826932827529,Did not go,False,No Sports,Vancouver British Columbia Canada,,2.0,1978.0,September,Not Ranked,0,3000,0,0,0,0,Rest of World
1703,Robert Stack,M,1.81,,61.0,4.815437480262686,Did not go,False,No Sports,Los Angeles California US,,2.0,1919.0,January,Not Ranked,0,3000,0,0,0,0,USA
1704,Kevin Nealon,M,1.93,White Americans,33.0,4.815282707116386,Specialised Arts School,False,Football,St Louis,,1.0,1953.0,November,Not Ranked,0,3000,0,0,0,1,Rest of World
1705,Hope Lange,F,1.57,,51.0,4.815205295874693,sub 1500 school,True,Dance,Redding Connecticut US,,2.0,1933.0,November,Not Ranked,0,3000,0,0,0,0,USA
1706,Rob Riggle,M,1.91,,36.0,4.814773159392004,University of Kansas,True,No Sports,Louisville Kentucky US,,2.0,1970.0,April,410,1,410,0,0,0,0,USA
1707,Jillian Bach,F,1.52,,36.0,4.814741221677831,Did not go,False,No Sports,Palm Beach Gardens Florida US,,,1973.0,April,Not Ranked,0,3000,0,0,0,0,USA
1708,Suzie Plakson,F,1.87,,39.0,4.81472508827079,Northwestern University,False,No Sports,Buffalo New York US,,,1958.0,June,47,1,47,0,0,0,0,USA
1709,Charles A. Tamburro,M,1.88,,36.0,4.814335991098811,Did not go,False,No Sports,,,,,,Not Ranked,0,3000,0,0,0,0,
1710,Heike Makatsch,F,1.73,Germans,30.0,4.814116413710288,Did not go,False,No Sports,Düsseldorf West Germany,,3.0,1971.0,August,Not Ranked,0,3000,0,0,0,0,Europe
1711,Sofía Vergara,F,1.7,Colombians,29.0,4.814060139353765,Did not go,False,No Sports,Barranquilla Atlántico Colombia,"Colombia by birthplace, United States naturalized",1.0,1972.0,July,Not Ranked,0,3000,0,0,0,0,Rest of World
1712,Pip Mushin,M,1.8,,42.0,4.813982932820103,Did not go,False,No Sports,,,,,,Not Ranked,0,3000,0,0,0,0,
1713,Sebastian Koch,M,1.81,Germans,43.0,4.813593271576829,Did not go,False,No Sports,Karlsruhe BadenWürttemberg West Germany,,2.0,1962.0,May,Not Ranked,0,3000,0,0,0,0,Europe
1714,Kirk Acevedo,M,1.77,,27.0,4.8134784766097525,sub 1500 school,False,No Sports,New York City US1,,1.0,1971.0,November,Not Ranked,0,3000,0,0,0,0,USA
1715,Mizuo Peck,F,1.68,Cherokee,29.0,4.813380237051657,sub 1500 school,True,No Sports,New York City New York US,,1.0,1977.0,August,Not Ranked,0,3000,0,0,0,0,USA
1716,Valerie Azlynn,F,1.75,,27.0,4.812748557935097,Did not go,True,No Sports,New London Connecticut US,,,1980.0,November,Not Ranked,0,3000,0,0,0,0,USA
1717,Jasmine Dustin,F,1.71,,25.0,4.812748557935097,Did not go,False,No Sports,,,,1983.0,January,Not Ranked,0,3000,0,0,0,0,
1718,Trieu Tran,M,1.73,Asian people,,4.812748557935097,Did not go,False,No Sports,,,,1973.0,June,Not Ranked,0,3000,0,0,0,0,
1719,Kaye Marie Talise,F,1.69,White people,,4.812748557935097,Did not go,False,No Sports,,,,,,Not Ranked,0,3000,0,0,0,0,
1720,Brandon Soo Hoo,M,1.49,,12.0,4.812748557935097,Did not go,False,No Sports,Pasadena California US,,,1995.0,November,Not Ranked,0,3000,0,0,0,0,USA
1721,Lance Bass,M,1.753,,29.0,4.812748557935097,Did not go,False,No Sports,Laurel Mississippi US,,2.0,1979.0,May,Not Ranked,0,3000,0,0,0,0,USA
1722,Mika Boorem,F,1.67,,11.0,4.811008197608868,Did not go,False,No Sports,Tucson Arizona US,,,1987.0,August,Not Ranked,0,3000,0,0,0,0,USA
1723,Om Puri,M,1.78,,43.0,4.81097687560595,Specialised Drama School,True,Track,Ambala Punjab India,,1.0,1950.0,October,Not Ranked,0,3000,1,0,0,0,Rest of World
1724,Rumi Hiiragi,F,1.55,,20.0,4.810743595239194,Did not go,False,Baseball,Tokyo Japan,,,1987.0,August,Not Ranked,0,3000,0,0,0,0,Rest of World
1725,Matthew Beard,M,1.85,,19.0,4.81019883142743,Did not go,False,No Sports,,,,1989.0,March,Not Ranked,0,3000,0,0,0,0,
1726,Lucy Liu,F,1.6,Taiwanese Americans,28.0,4.8094818562828845,University of Michigan-Ann Arbor,True,No Sports,Queens New York City US,,1.0,1968.0,December,33,1,33,0,0,0,0,USA
1727,Shalom Harlow,F,1.8,,23.0,4.809094703938832,Did not go,False,Ballet,Oshawa Ontario Canada1,,,1973.0,December,Not Ranked,0,3000,0,0,0,0,Rest of World
1728,Geena Davis,F,1.829,,26.0,4.808637775536373,sub 1500 school,False,No Sports,Wareham Massachusetts US,,3.0,1956.0,January,Not Ranked,0,3000,0,0,0,0,USA
1729,James Naughton,M,1.85,,39.0,4.808294286665794,Yale University,True,No Sports,Middletown Connecticut US,,2.0,1945.0,December,16,1,16,0,0,0,0,USA
1730,Katherine Helmond,F,1.57,,52.0,4.807527235483689,Did not go,True,Football,Galveston Texas US,,,1929.0,July,Not Ranked,0,3000,0,0,0,0,USA
1731,Vanessa Lee Chester,F,1.6,African Americans,10.0,4.807438695591511,University of Southern California,False,No Sports,Brooklyn New York US,,,1984.0,July,116,1,116,0,0,0,0,USA
1732,Geoffrey Rush,M,1.83,,44.0,4.807170701873477,The University of Queensland,True,No Sports,Toowoomba Queensland Australia,,2.0,1951.0,July,43,1,43,0,0,0,0,USA
1733,Susan Egan,F,1.613,,27.0,4.806951632183543,California State University - Los Angeles,False,Dance,Seal Beach California US,,2.0,1970.0,February,1401,1,1401,0,0,0,0,USA
1734,Tom Towles,M,1.91,,36.0,4.80682085292828,Did not go,True,No Sports,Chicago Illinois US,,,1950.0,March,Not Ranked,0,3000,0,0,0,0,USA
1735,Bobby Cannavale,M,1.88,,28.0,4.805799305327937,Did not go,True,Dance,Union City New Jersey US,,3.0,1970.0,May,Not Ranked,0,3000,0,0,0,0,USA
1736,Eddie Redmayne,M,1.8,English people,24.0,4.805316079198293,University of Cambridge,True,No Sports,London England,,2.0,1982.0,January,2,1,2,0,0,0,0,United Kingdom
1737,Spike Lee,M,1.68,African Americans,30.0,4.804816745920082,York University,False,No Sports,Atlanta Georgia US,,2.0,1957.0,March,353,1,353,0,0,0,0,USA
1738,Gina Carano,F,1.73,,29.0,4.804620420529203,Did not go,False,Football, US,,,1982.0,April,Not Ranked,0,3000,0,0,0,0,USA
1739,Brett Cullen,M,1.8796,,43.0,4.804449777828111,University of Houston,False,No Sports,Houston Texas US,,1.0,1956.0,August,641,1,641,0,0,0,0,USA
1740,Penny Drake,F,1.8,,28.0,4.803785196475707,Did not go,False,No Sports,San Antonio TexasUnited States,,,1976.0,July,Not Ranked,0,3000,0,0,0,0,USA
1741,Paul McGann,M,1.74,English people,28.0,4.8037267264217975,Specialised Drama School,False,No Sports,Kensington Liverpool England,,,1959.0,November,Not Ranked,0,3000,1,0,0,0,United Kingdom
1742,Emeril Lagasse,M,1.71,Portuguese Americans,46.0,4.803469554805687,Did not go,False,No Sports,Fall River Massachusetts US,,,1959.0,October,Not Ranked,0,3000,0,0,0,0,USA
1743,Alyssa Shafer,F,1.24,Italians,7.0,4.802964628021992,Did not go,False,No Sports,,,,1998.0,July,Not Ranked,0,3000,0,0,0,0,
1744,Angelica Mandy,F,1.56,,12.0,4.802827901593342,Did not go,False,No Sports,,,,1992.0,August,Not Ranked,0,3000,0,0,0,0,
1745,Roger Lloyd Pack,M,1.88,White British,60.0,4.802827901593342,Did not go,True,No Sports,Islington London England,,4.0,1944.0,February,Not Ranked,0,3000,0,0,0,0,United Kingdom
1746,Brittany Snow,F,1.63,,18.0,4.801645244918526,Did not go,False,Track,Tampa Florida US,,,1986.0,March,Not Ranked,0,3000,0,0,0,0,USA
1747,Maria Menounos,F,1.721,Greek Americans,27.0,4.801186934270583,sub 1500 school,False,No Sports,Medford Massachusetts US,United StatesGreece,1.0,1978.0,June,Not Ranked,0,3000,0,0,0,0,USA
1748,John Hurt,M,1.75,English people,40.0,4.800987011434952,Specialised Drama School,True,No Sports,Chesterfield Derbyshire England,,2.0,1940.0,January,Not Ranked,0,3000,1,0,0,0,United Kingdom
1749,Masi Oka,M,1.676,Japanese Americans,29.0,4.800904497228286,Brown University,True,No Sports,Shibuya Tokyo Japan,,,1974.0,December,73,1,73,0,0,0,0,Rest of World
1750,Adam Godley,M,1.854,,39.0,4.80088824640702,sub 1500 school,True,No Sports,Amersham England,,,1964.0,July,Not Ranked,0,3000,0,0,0,0,United Kingdom
1751,Sarah Clarke,F,1.62,,30.0,4.800819997227609,Did not go,True,No Sports,St Louis Missouri US,,2.0,1972.0,February,Not Ranked,0,3000,0,0,0,0,USA
1752,Steve Allen,M,1.9,,70.0,4.800088439347963,sub 1500 school,True,No Sports,New York City US,,4.0,1921.0,December,Not Ranked,0,3000,0,0,0,0,USA
1753,Kayvan Novak,M,1.85,Iranians in the United Kingdom,27.0,4.800061586653883,Did not go,False,Soccer,London England,,,1978.0,November,Not Ranked,0,3000,0,0,0,0,United Kingdom
1754,Nicky Henson,M,1.75,,60.0,4.800061586653883,Did not go,False,No Sports,London England,,3.0,1945.0,May,Not Ranked,0,3000,0,0,0,0,United Kingdom
1755,Elise Neal,F,1.63,African Americans,30.0,4.799224255036488,Specialised Arts School,True,Ballet,Memphis Tennessee US,,,1966.0,March,Not Ranked,0,3000,0,0,0,1,USA
1756,Nas,M,1.765,African Americans,25.0,4.799187458618596,Did not go,False,Track,Brooklyn New York City US,,2.0,1973.0,September,Not Ranked,0,3000,0,0,0,0,USA
1757,Elaine Stritch,F,1.71,,61.0,4.799153347294987,Did not go,True,No Sports,Detroit Michigan US,,,1925.0,February,Not Ranked,0,3000,0,0,0,0,USA
1758,Peter Kay,M,1.727,,32.0,4.798678315641661,University of Salford,True,No Sports,Farnworth,,,1973.0,July,851,1,851,0,0,0,0,Rest of World
1759,Erik Knudsen,M,1.676,,17.0,4.798596959748922,Did not go,False,No Sports,Toronto Ontario Canada,,,1988.0,March,Not Ranked,0,3000,0,0,0,0,Rest of World
1760,Andrea Corr,F,1.55,Black Irish,17.0,4.79821854336802,Did not go,False,No Sports,Dundalk,,,1974.0,May,Not Ranked,0,3000,0,0,0,0,Rest of World
1761,Peter Haber,M,1.79,,56.0,4.797900808383195,Did not go,True,No Sports,Stockholm Sweden,,2.0,1952.0,December,Not Ranked,0,3000,0,0,0,0,Europe
1762,Josh Zuckerman,M,1.78,,23.0,4.797730827172741,Princeton University,True,No Sports,Stanford California US,,,1985.0,April,17,1,17,0,0,0,0,USA
1763,Peter Graves,M,1.905,,54.0,4.797193069306097,University of Minnesota Twin Cities,True,Track,Minneapolis Minnesota US,,3.0,1926.0,March,195,1,195,0,0,0,0,USA
