Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start
Ricardo Montalbán,1920-11-25,M,1.83,Mexicans,61.0,4.948257267251389,Male,,,,Mexico City Mexico,1920-11-25,,4,1941
Betsy Russell,1963-09-06,F,1.65,,43.0,4.948172386603649,Female,University of Santa Monica,,,San Diego California US,1963-09-06,,2,1982
Michael Rosenbaum,1972-07-11,M,1.83,Jewish people,25.0,4.948089739513799,Male,,Yes,,Oceanside New York US,1972-07-11,,,1997
Susan Sullivan,1942-11-18,F,1.7,,54.0,4.947646878859559,Female,Hofstra University,,,New York City US,,,,1964
Joshua Malina,1966-01-17,M,1.75,,26.0,4.9474733795703365,Male,Yale University,Yes,,New York City NY US,1966-01-17,,2,1992
Kathryn Morris,1969-01-28,F,1.695,,22.0,4.947243103794255,Female,,,,Cincinnati Ohio US,1969-01-28,,2,1991
Mark Gantt,1968-12-10,M,1.88,,32.0,4.9470438662875615,Male,,,,Stockton California US,1968-12-10,,,1997
Lennox Lewis,1965-09-02,M,1.949,,36.0,4.9470438662875615,Male,,,Soccer,London England,1965-09-02,,,
Scott L. Schwartz,,M,2.05,Jewish people,,4.9470438662875615,Male,,,Football,Philadelphia Pennsylvania US,1959-03-16,,,
Danny Elfman,1953-05-29,M,1.78,,40.0,4.946845531772495,Male,,Yes,,Los Angeles California US,1953-05-29,,3,1971
"Thomas Rosales, Jr.",1948-02-03,M,1.8,,39.0,4.946246130819093,Male,,,,El Paso Texas US,1948-02-03,,,
Melissa McCarthy,1970-08-26,F,1.57,,32.0,4.945982446800749,Male,,,,Plainfield Illinois US,1970-08-26,,2,1997
Elizabeth Hurley,1965-06-10,F,1.73,English people,27.0,4.945782211921672,Female,London Studio Centre,Yes,Ballet,Basingstoke Hampshire England,1965-06-10,,,1987
Mimi Kennedy,1948-09-25,F,1.67,,40.0,4.945759058060457,Female,,Yes,,Rochester New York US,1948-09-25,,2,1970
Jimi Mistry,1973-01-01,M,1.778,British,23.0,4.94556758574623,Male,,,Dance,Scarborough North Yorkshire England,1973-03-20,,1,1996
Gemma Arterton,1986-01-12,F,1.7,,22.0,4.945107403417127,Female,Royal Academy of Dramatic Art,Yes,,Gravesend Kent England,1986-02-02,,1,2003
Jennifer Carpenter,1979-12-07,F,1.77,,24.0,4.944194230814621,Male,Juilliard School BFA,Yes,,Louisville Kentucky US,1979-12-07,,1,1998
Jim Gaffigan,1966-07-07,M,1.83,,33.0,4.943704623776101,Male,Purdue UniversityGeorgetown University BS,,Football,Elgin Illinois,1966-07-07,,5,1991
Kirk Baltz,1959-09-14,M,1.75,,32.0,4.943101105841104,Male,,,Dance,New York City New York US,1959-09-14,,,1989
Bahar Soomekh,1975-03-30,F,1.65,Jewish people,31.0,4.942700607842964,Female,University of California Santa Barbara BA 1997,,,Tehran Iran,1975-03-30,,3,2002
Chris Klein,1979-03-14,M,1.85,White Americans,20.0,4.941805297886763,,,,,,,,,
Tzi Ma,1962-06-10,M,1.645,Chinese Americans,35.0,4.941781804486358,Male,,Yes,Dance,British Hong Kong,1962-02-23,,,1979
Roy Jones Jr.,1969-01-16,M,1.803,African Americans,28.0,4.941538697974256,Male,,,,Pensacola Florida US,1969-01-16,,,
James Denton,1963-01-20,M,1.85,,34.0,4.9413096834710375,Male,,Yes,Dance,Nashville Tennessee US,1963-01-20,,2,1993
Gina Torres,1969-04-25,F,1.78,Cuban Americans,34.0,4.94108937898232,Female,,,Soccer,New York City US,1969-04-25,,1,1992
Namrata Singh Gujral,1976-02-26,F,1.68,Indian Americans,25.0,4.940859551110914,Male,,,Dance,Dharamshala Himachal Pradesh India,1976-02-26,,,
Kellan Lutz,1985-03-15,M,1.85,White Americans,21.0,4.939846807074442,Male,,,,Dickinson North Dakota US,1985-03-15,,2,2004
Chow Yun-Fat,1955-05-18,M,1.83,Hongkongers,43.0,4.93977566904593,Male,,,,Lamma Island British Hong Kong,1955-05-18,,,1973
Paul Hogan,1939-10-08,M,1.75,,46.0,4.939051648404624,Male,,,Ballet,Parramatta New South Wales Australia,1939-10-08,,6,1971
Shea Whigham,1969-01-05,M,1.74,,31.0,4.938955806263554,Male,Tyler Junior CollegeState University of New York Purchase BFA,Yes,,Tallahassee Florida US,1969-01-05,,4,1997
Derek Luke,1974-04-24,M,1.778,African Americans,28.0,4.938852277142605,Male,,,,Jersey City New Jersey US,1974-04-24,,1,1999
Barry Livingston,1953-12-17,M,1.65,,49.0,4.938820817621757,Male,,,,Los Angeles California US,1953-12-17,,2,
Gretchen Palmer,1961-12-16,F,1.67,,27.0,4.938150466276686,Female,,,,,,,,
Daniel Day-Lewis,1957-04-29,M,1.87,Jewish people,25.0,4.9380594207435,Male,Bristol Old Vic Theatre School,,,London England,1957-04-29,United KingdomIreland,3,1971
Maggie Q,1979-05-22,F,1.68,Irish Americans,22.0,4.937745643742707,Female,,,Track,Honolulu Hawaii US,1979-05-22,,,1998
Eric Christian Olsen,1977-05-31,M,1.88,White Americans,24.0,4.937427561281839,Male,,Yes,Track,Eugene Oregon US,1977-05-31,,3,1997
Rosario Dawson,1979-05-09,F,1.702,Puerto Ricans,18.0,4.936935637904205,Female,,Yes,Track,New York City US,1979-05-09,,1,1994
John Davidson,1941-12-13,M,1.82,,48.0,4.9363528286052025,,,,,,,,,
Lena Olin,1955-03-22,F,1.778,Swedes,27.0,4.935917924541367,Female,Swedish National Academy of Mime and Acting,Yes,,Stockholm Sweden,1955-03-22,,2,1976
Ossie Davis,1917-12-18,M,1.91,African Americans,70.0,4.9357636003010485,Male,Columbia University,Yes,,Cogdell Georgia US,1917-12-18,,3,1939
Jobeth Williams,1948-12-06,F,1.71,,33.0,4.935163602548646,Female,Pembroke College in Brown University,,,Houston Texas US,1948-12-06,,2,1974
Keith Allen,1953-06-02,M,1.67,Welsh people,48.0,4.934891989370179,,,,,,,,,
Vanessa L. Williams,1963-03-18,F,1.68,African Americans,28.0,4.934850502582557,Female,Syracuse University BFA,Yes,Dance,New York City US1,1963-03-18,,4,1982
Melissa George,1976-08-06,F,1.71,,21.0,4.934714629974133,Female,,,Ballet,Perth Australia,1976-08-06,AustraliaUnited States from 2008,3,1993
Brian Cox,1946-06-01,M,1.76,Irish migration to Great Britain,40.0,4.93419976170259,,,,,,,,,
Danielle Harris,1977-06-01,F,1.52,Jewish people,11.0,4.933888610191702,Female,,,,Plainview New York US,,,2,1985
Nick Cassavetes,1959-05-21,M,1.98,,25.0,4.933595513797254,Male,,,Basketball,New York City New York US,1959-05-21,,3,1970
John Noble,1948-08-20,M,1.85,,54.0,4.932847740548023,Male,,Yes,,Port Pirie South Australia Australia 1,1948-08-20,,3,1988
Dexter Gordon,1923-02-27,M,1.9812,African Americans,67.0,4.9321464540410735,Male,,,Track,Los Angeles,1923-02-27,,,1940
Emily Procter,1968-10-08,F,1.6,,26.0,4.931860057732566,Female,East Carolina University,,Dance,Raleigh North Carolina US,1968-10-08,,1,1988
Dr. Dre,1965-02-18,M,1.85,African Americans,26.0,4.93110101285121,Male,,,Dance,Compton California US,1965-02-18,,8,1984
Lynn-Holly Johnson,1958-12-13,F,1.6,,22.0,4.930859613674708,Female,,Yes,,Chicago Illinois US,,,2,1978
Sheena Easton,1959-04-27,F,1.537,,22.0,4.930859613674708,Female,,,Dance,Bellshill,1959-04-27,,,1978
Thora Birch,1982-03-11,F,1.63,Italian Americans,10.0,4.930155814857953,Female,,,,Los Angeles California US,1982-03-11,,,1988
Michael Peña,1976-01-13,M,1.7,Mexican Americans,24.0,4.9298689387928265,Male,,,Track,Chicago Illinois US,1976-01-13,,1,1996
Kate Walsh,1967-10-13,F,1.78,Irish Americans,33.0,4.929056546437854,,,,,,,,,
Brian Gleeson,1987-11-14,M,1.8,,24.0,4.927456128279406,,,,,,,,,
Lily Cole,1987-12-27,F,1.79,,24.0,4.927456128279406,Female,Kings College Cambridge,Yes,,Torquay Devon England,1987-12-27,,1,2001
Jessica Cauffiel,1976-03-30,F,1.62,,24.0,4.92744602526104,Female,,,,Detroit Michigan US,,,,1998
Harold Perrineau Jr.,1963-08-07,M,1.79,African Americans,33.0,4.92673930383704,Male,Shenandoah University,Yes,Dance,New York City US,1963-08-07,,3,1986
William Zabka,1965-10-20,M,1.73,Czech Americans,18.0,4.926454667522125,Male,California State University Northridge withdrew,,Dance,New York City New York,1965-10-20,,2,1982
Craig Fairbrass,1964-05-06,M,1.9,,29.0,4.926376505417698,Male,,Yes,,Mile End London England,1964-01-15,,2,1979
Ron Howard,1954-03-01,M,1.75,White Americans,47.0,4.925861665760952,Male,University of Southern California,,,Duncan Oklahoma US,1954-03-01,,4,1959
Jason Sudeikis,1975-09-18,M,1.85,White people,32.0,4.925815198929828,Male,Fort Scott Community College,,Basketball,Fairfax Virginia US,1975-09-18,,2,1997
Shohreh Aghdashloo,1952-05-11,F,1.651,Iranian peoples,51.0,4.925651862798221,Female,Brunel University,Yes,,Tehran Pahlavi Iran,1952-05-11,IranUnited States,1,1976
Mimi Rogers,1956-01-27,F,1.74,Jewish people,29.0,4.925600159369069,Female,,,Dance,Coral Gables Florida US,1956-01-27,,2,1981
Julian Rhind-Tutt,1968-07-20,M,1.83,,30.0,4.925411110913348,Male,Royal Central School of Speech and Drama,Yes,,West Drayton London England,1967-07-20,,1,1981
Heather Elizabeth Morris,1987-02-01,F,1.73,,25.0,4.92515409474486,Female,,,Dance,Thousand Oaks California US,,,2,2006
Nicki Minaj,1982-12-08,F,1.57,Indo Caribbeans,29.0,4.92515409474486,Female,,,,Port of Spain Trinidad and Tobago,1982-12-08,,1,2004
Aubrey Graham,1986-10-24,M,1.83,African Americans,25.0,4.92515409474486,Male,,,,Toronto Ontario Canada,1986-10-24,CanadaUnited States,1,2001
Kunal Nayyar,1981-04-30,M,1.73,Indians,31.0,4.92515409474486,Male,"University of Portland BBA, Temple University MFA",Yes,,Hammersmith London England,1981-04-30,,,2004
Tony Leung Chiu Wai,1962-06-27,M,1.71,Hongkongers,40.0,4.924984072108434,Male,,,,British Hong Kong,1962-06-27,,,1982
Ray McKinnon,1957-11-15,M,1.88,,34.0,4.923929087967693,,,,,,,,,
Ann-Margret,1941-04-28,F,1.65,Swedish Americans,50.0,4.923659891464816,Female,,,,Valsjöbyn Jämtland County Sweden,1941-04-28,,,1961
Joy Bryant,1976-10-19,F,1.75,Hispanic and Latino Americans,25.0,4.923155057114705,Male,Yale University,,,New York City US,1974-10-18,,,1994
Wendie Malick,1950-12-13,F,1.77,,44.0,4.923109943590935,Female,Ohio Wesleyan University BA,,,Buffalo New York US,1950-12-13,,,1978
Rebecca Mader,1977-04-24,F,1.7,,29.0,4.922991724103494,Female,,,,Cambridge England,1977-04-24,,2,2000
Joe Bucaro,1964-04-04,M,1.93,,47.0,4.922784751028902,,,,,,,,,
Kelly Curtis,1956-06-17,F,1.77,,26.0,4.92272780687428,Female,,Yes,,Santa Monica California US,1956-06-17,,,1958
Al Franken,1951-05-21,M,1.676,Jewish people,32.0,4.92272780687428,Male,Harvard University BA,Yes,, US,1951-05-21,,2,
Will Forte,1970-06-17,M,1.78,,36.0,4.922676740995668,Male,University of California Los Angeles BA,,Football,Alameda California US,1970-06-17,,1,1997
Paul Kaye,1964-12-15,M,1.816,Jewish people,40.0,4.922472512060851,Male,,Yes,,Clapham London England,1964-12-15,,2,
George Strait,1952-05-18,M,1.77,,40.0,4.922169949914771,Male,"College Station, Texas",,Track,Poteet Texas,1952-05-18,,,1976
Lake Bell,1979-03-24,F,1.727,Jewish people,29.0,4.921872287664843,Female,Skidmore CollegeRose Bruford College BA,Yes,Track,New York City US,1979-03-24,,2,1997
Nestor Serrano,1955-11-05,M,1.803,,39.0,4.921444264802129,Male,,Yes,,The Bronx New York US,1955-11-05,,,1982
Emma Roberts,1991-02-10,F,1.6,,10.0,4.921283472499438,Female,,,Track,Rhinebeck New York US,1991-02-10,,1,2001
Madison Pettis,1998-07-22,F,1.51,European Americans,9.0,4.920866447349813,Female,,,Dance,Arlington Texas US,1998-07-22,,,2005
Liza Minnelli,1946-03-12,F,1.626,,35.0,4.920350431347887,Female,,Yes,Dance,Los Angeles California US,1946-03-12,,,1949
Heather Matarazzo,1982-11-10,F,1.63,Irish Americans,12.0,4.920098202179883,Female,,,,,1982-11-10,,,
Julianna Margulies,1966-06-08,F,1.68,Jewish people,24.0,4.919926735758854,Male,Sarah Lawrence College,Yes,Ballet,Spring Valley New York US,1966-06-08,,1,1991
Jenna Elfman,1971-09-30,F,1.778,Croatian Americans,25.0,4.919808620600763,Female,,,Ballet,Los Angeles California US,1971-09-30,,2,1990
Tyler Patrick Jones,1994-03-12,M,1.54,,8.0,4.919682846080569,Male,Chapman University2,,,California United States,1994-03-12,,,2000
Olga Fonda,1982-10-01,F,1.69,,28.0,4.919634926859851,Female,University of Maine at Augusta,,,Ukhta Komi ASSR RSFSR USSR,1982-10-01,RussiaUnited States,,2005
Obba Babatunde,1951-12-01,M,1.676,African Americans,36.0,4.9181634137805625,Male,,Yes,Track,New York City US,1951-12-01,,,1969
Serinda Swan,1984-07-11,F,1.7,,26.0,4.917209272315097,Female,,Yes,,West Vancouver British Columbia Canada,1984-07-11,,,2005
Tina Majorino,1985-02-07,F,1.65,Italian Americans,10.0,4.917110345912263,Female,,,,Westlake Village California US,1985-02-07,,,1992
Madeleine Martin,1993-04-15,F,1.65,,12.0,4.917019822027238,Female,School of American Ballet,Yes,Ballet,New York City US,1993-04-15,United StatesCanada,,2000
Jack McBrayer,1973-05-27,M,1.79,,33.0,4.916795146605529,Male,University of Evansville BFA,Yes,,Macon Georgia US,1973-05-27,,,1995
Randall Batinkoff,1968-10-16,M,1.93,,23.0,4.916287373556761,Male,School Ties,,,Monticello New York US,1968-10-16,,1,1974
Travis Barker,1975-11-14,M,1.791,,23.0,4.915701547550689,Male,Fontana High School,,,Fontana California US,1975-11-14,,3,1993
Eric Lively,1981-07-31,M,1.88,,17.0,4.915701547550689,Male,,,,Atlanta Georgia US,1981-07-31,,,1983
Nick Cannon,1980-10-08,M,1.83,African Americans,21.0,4.915047004070782,Male,Howard University BS,,Track,San Diego California US,1980-10-08,,12,1998
Miriam Karlin,1925-06-23,F,1.67,Jewish people,81.0,4.914950787747974,Female,Royal Academy of Dramatic Art,Yes,,Hampstead London England,1925-06-23,,,1946
Clare-Hope Ashitey,1987-02-12,F,1.57,,19.0,4.914950787747974,Female,Latymer SchoolSOAS University of London 2009,,,Enfield London England,1987-02-12,,,2005
Alexander Ludwig,1992-05-07,M,1.88,,12.0,4.914823871655391,Male,University of Southern California BFA,,,Vancouver British Columbia Canada,1992-05-07,,2,2000
Patrick Fugit,1982-10-27,M,1.829,,17.0,4.913931356257686,Male,,,Dance,Salt Lake City Utah US,1982-10-27,,1,1997
Sam Anderson,1945-05-13,M,1.78,,37.0,4.913897341723936,Male,University of North Dakota Antelope Valley College,,,Clark South Dakota US,1947-04-02,,2,1969
Dan Aykroyd,1952-07-01,M,1.85,Canadian Americans,27.0,4.913242362726521,Male,Carleton University,,Dance,Ottawa Ontario Canada,1952-07-01,CanadaUnited States,3,1971
Charlie Korsmo,1978-07-20,M,1.73,,11.0,4.913104615903091,Male,Massachusetts Institute of Technology BSYale University JD,,,Fargo North Dakota US,1978-07-20,,2,1988
Lori Petty,1963-10-14,F,1.72,,27.0,4.912576461969024,Female,,Yes,,Chattanooga Tennessee US,1963-10-14,,,1984
Léa Seydoux,1985-07-01,F,1.68,,23.0,4.911951732636436,Female,,,Football,Paris France,1985-07-01,,1,2005
Kali Hawk,1986-10-04,F,1.78,,23.0,4.911354751054628,Female,,,,,1986-10-04,,,
Jane Horrocks,1964-01-18,F,1.57,,36.0,4.91056014235736,Female,,,,Rawtenstall Lancashire England,1964-01-18,,2,1986
Danny Aiello,1933-06-20,M,1.91,Italian Americans,50.0,4.909520688205527,Male,,,,New York City US,1933-06-20,,4,1970
Malin Akerman,1978-05-12,F,1.708,Swedish Canadians,26.0,4.909327257668407,Female,,,,Stockholm Sweden,1978-05-12,SwedenaUnited States from 2018,1,1997
Franco Nero,1941-11-23,M,1.88,,48.0,4.908187324152417,Male,,,,San Prospero Parmense Parma Italy,1941-11-23,,2,1962
Mads Mikkelsen,1965-11-22,M,1.83,Danes,40.0,4.908005197933458,,,Yes,Ballet,Copenhagen Denmark,1965-11-22,,2,1996
Dennis Farina,1944-02-29,M,1.87,Italian Americans,37.0,4.907947789082619,Male,,,,Chicago Illinois US,,,3,1967
Goran Višnjić,1972-09-09,M,1.93,Croats,25.0,4.907681043085164,Male,University of Zagreb,,Dance,Šibenik SR Croatia SFR Yugoslavia,1972-09-09,CroatiaUnited States since 20131,4,1988
Matthew Bomer,1977-10-11,M,1.82,,27.0,4.907624649309196,Male,Carnegie Mellon University BFA,Yes,Football,Webster Groves Missouri US,1977-10-11,,3,1994
Luke Evans,1979-04-15,M,1.83,,30.0,4.907417436903072,Male,London Studio Centre,,,Pontypool Torfaen Wales,1979-04-15,,,2000
Edward Fox,1937-04-13,M,1.73,,45.0,4.906885466896783,,,,,,,,,
Frances O%27Connor,1967-06-12,F,1.74,,33.0,4.905620402758008,Female,Curtin University,,,Wantage Berkshire England UK,1967-06-12,,1,1993
Emma Stone,1988-11-06,F,1.6764,Swedish Americans,18.0,4.904868415775408,Female,,Yes,,Scottsdale Arizona US,1988-11-06,,1,2004
Vinessa Shaw,1976-07-19,F,1.721,,16.0,4.904733093553492,Female,Barnard College,,,Los Angeles California US,1976-07-19,,1,1981
Alexa Davalos,1982-05-28,F,1.695,Jewish people,22.0,4.90421524171918,Female,,Yes,,Paris France,1982-05-28,,,2002
Brian Posehn,1966-07-06,M,2.0,German Americans,35.0,4.904056931057535,Male,California State University Sacramento,,,Sacramento California,1966-07-06,,1,1994
Nigel Havers,1951-11-06,M,1.77,,33.0,4.903584352023766,Male,,Yes,,Edmonton Middlesex England,1951-11-06,,1,1970
E.e. Bell,1955-12-27,M,1.83,,41.0,4.902157107725166,,,,,,,,,
Dakota Blue Richards,1994-04-11,F,1.57,,13.0,4.901096961087487,Female,,Yes,,Chelsea London England,1994-04-11,,,2006
Ben Shenkman,1968-09-26,M,1.9,,30.0,4.900660166811259,Male,Brown University BANew York University MFA,Yes,Dance,New York City US,1968-09-26,,,1993
Sean Hayes,1970-06-26,M,1.8,Americans,15.0,4.900606685463328,Male,Illinois State University,Yes,,Evergreen Park Illinois US,1970-06-26,,,1996
Jesse Eisenberg,1983-10-05,M,1.75,Jewish people,19.0,4.900578614111723,Male,,,,New York City US,1983-10-05,American bornPolish since 2024,1,1996
Michael Ensign,1944-02-13,M,1.88,British Americans,37.0,4.899111852713185,Male,,Yes,,Safford Arizona US,1944-02-13,,,1972
Julie Gonzalo,1981-09-09,F,1.73,,21.0,4.897793021425416,Female,,Yes,,Buenos Aires Argentina,1981-09-09,ArgentinaUnited States since 2011,1,2001
Robert Easton,1930-11-23,M,1.94,,58.0,4.896671133821641,,,,,,,,,
"Cuba Gooding, Jr.",1968-01-02,M,1.78,African Americans,20.0,4.896650434353368,Male,Apple Valley High School,,Football,New York City US,1968-01-02,,3,1984
Larry Drake,1950-02-21,M,1.905,,40.0,4.895972091561232,Male,University of Oklahoma,,,Tulsa Oklahoma US,1949-02-21,,,1971
Chris Wilson,,M,1.79,,,4.895912699953845,,,,,,,,,
Peter Frampton,1950-04-22,M,1.715,English Americans,50.0,4.89586312842242,Male,,,,Beckenham,1950-04-22,,,1966
Justin Theroux,1971-08-10,M,1.759,Canadian Americans,28.0,4.894546708990112,Male,Bennington College,,Dance,Washington DC US,1971-08-10,,,1995
Peter Riegert,1947-04-11,M,1.72,,41.0,4.894495560539671,Male,The State University of New York The University at Buffalo,,,The Bronx New York US,1947-04-11,,,1975
Bernie Casey,1939-06-08,M,1.93,African Americans,43.0,4.894358979259051,Male,,,Football,Wyco West Virginia,1939-06-08,,,
Geoffrey Holder,1930-08-01,M,1.981,African Americans,51.0,4.894132651205297,Male,Queens Royal College,Yes,Dance,Port of Spain Trinidad and Tobago,1930-08-01,,1,1957
Kevin Spacey,1959-07-26,M,1.79,,29.0,4.893967465407421,Male,Juilliard School,,,South Orange New Jersey US,1959-07-26,,,1981
Chevy Chase,1943-10-08,M,1.93,,36.0,4.893313547129501,Male,Bard College BA,,,New York City US,1943-10-08,,3,1967
Sasha Alexander,1973-05-17,F,1.7,Serbian Americans,32.0,4.892586544225364,Female,University of Southern California,,Dance,Los Angeles California US,1973-05-17,,2,1997
Krista Allen,1971-04-05,F,1.71,Irish Americans,25.0,4.892205066759898,Female,,,,Ventura California US,1971-04-05,,1,1994
Lee Pace,1979-03-25,M,1.91,,27.0,4.892105385216703,Male,Juilliard School BFA,Yes,,Chickasha Oklahoma US1,1979-03-25,,,2001
Brian Thompson,1959-08-28,M,1.91,,25.0,4.892058710129825,,,,,,,,,
Shelley Long,1949-08-23,F,1.68,,35.0,4.891123619930534,Female,Northwestern University,,,Fort Wayne Indiana US,1949-08-23,,1,1971
Monet Mazur,1976-04-17,F,1.75,,24.0,4.890721667129224,Female,,,,Los Angeles California US,1976-04-17,,2,1993
Byrne Piven,1929-09-24,M,1.82,,69.0,4.890656294234398,Male,,Yes,,Scranton Pennsylvania US,1929-09-24,,,1954
Brandon Routh,1979-10-09,M,1.91,,26.0,4.89036209801472,Male,University of Iowa attended,Yes,,Des Moines Iowa US,1979-10-09,,1,1999
Jordan Lund,1957-05-07,M,1.93,,32.0,4.890148819644066,Male,Carnegie Mellon School of Drama,Yes,,Long Island New York United States,1957-05-07,,,
Shaun Toub,1963,M,1.87,,33.0,4.890084831287385,Male,University of Southern California,,,Tehran Imperial State of Iran1,1958-02-15,,,1988
Gillian Anderson,1968-08-09,F,1.6,,29.0,4.8898522450871,Male,DePaul University BFA,Yes,,Chicago Illinois US,1968-08-09,,3,1983
Gilbert Soto,,M,1.8,,,4.889505375720895,,,,,,,,,
Chris Sarandon,1942-07-24,M,1.85,Greek Americans,40.0,4.889345356543022,Male,West Virginia University BACatholic University MFA,Yes,,Beckley West Virginia US1,1942-07-24,,3,1965
Guillermo Del Toro,1964-10-09,M,1.78,Mexicans,39.0,4.888959486567583,Male,,,,Guadalajara Jalisco Mexico,1964-10-09,,2,1985
Ricardo Montez,1923-09-20,M,1.8,Gibraltarian people,84.0,4.888944637537474,Male,,,,Gibraltar,,,,1962
Joseph Fiennes,1970-05-27,M,1.83,English people,25.0,4.888821280899346,Male,Guildhall School of Music and Drama BA,,,Salisbury Wiltshire England,1970-05-27,,2,1993
Blake Lively,1987-08-25,F,1.78,,18.0,4.888471711083128,Male,,,,Los Angeles California US,1987-08-25,,4,1998
Emilie De Ravin,1981-12-27,F,1.57,Australians,24.0,4.888214036726737,Female,,,Ballet,Mount Eliza Victoria Australia,1981-12-27,,3,1999
Amanda Schull,1978-08-26,F,1.651,,21.0,4.887568086061396,Female,,,Ballet,Honolulu Hawaii US,1978-08-26,,1,1999
Ellen Page,1987-02-21,F,1.55,,19.0,4.887452790151237,Male,,,,Halifax Nova Scotia Canada,1987-02-21,,,1997
Martin Mull,1943-08-18,M,1.78,,37.0,4.88743425834687,Male,Rhode Island School of Design BFA MFA,,,Chicago Illinois US,1943-08-18,,1,1970
Harland Williams,1962-11-14,M,1.87,,33.0,4.886981257546291,Male,,,,Toronto Ontario Canada,1962-11-14,,,1988
Jayma Mays,1979-07-16,F,1.63,,26.0,4.886788522665031,Female,Radford University,,Dance,Bristol Tennessee US,1979-07-16,,1,2004
Pat Roach,1937-05-19,M,1.95,White British,44.0,4.8863424957878605,Male,,,,Birmingham Warwickshire UK,1937-05-19,,2,1960
John Fiedler,1925-02-03,M,1.62,,56.0,4.886215012195757,Male,,,,Platteville Wisconsin US,1925-02-03,,,1949
Martin Sheen,1940-08-03,M,1.7,Spanish Americans,39.0,4.8861508957201645,Male,,Yes,,Dayton Ohio US,1940-08-03,"United States, Ireland1",,1961
Elisha Cuthbert,1982-11-30,F,1.59,,20.0,4.885564288300172,Female,College,,,Calgary Alberta Canada,1982-11-30,,2,1996
Suzanne Cryer,1967-01-13,F,1.73,,30.0,4.885459551622429,Female,Yale University BA MFA,Yes,,Rochester New York US,1967-01-13,,3,1992
Sean Masterson,,M,1.88,,,4.885459551622429,Male,,,,New York City,,,,1984
Jimmie Walker,1947-06-25,M,1.85,African Americans,33.0,4.884635308187908,Male,Theodore Roosevelt High School,,Track,New York City US,1947-06-25,,,1969
Frank Ashmore,1945-06-17,M,1.8,,35.0,4.884635308187908,Male,,,,El Paso Texas United States,,,,1960
Barbara Billingsley,1915-12-22,F,1.65,,64.0,4.884635308187908,Female,Los Angeles Junior College,,,Los Angeles California US,1915-12-22,,2,1945
Kareem Abdul-Jabbar,1947-04-16,M,2.18,African Americans,33.0,4.884635308187908,,,,Basketball,New York City,1947-04-16,,,
Frank Grillo,1965-06-08,M,1.79,,36.0,4.884145089907923,Male,New York University,,,New York City New York US,1965-06-08,,3,1992
Lolita Davidovich,1961-07-15,F,1.72,Serbian Canadians,25.0,4.883925945803411,Female,,,,London Ontario Canada,1961-07-15,,2,1983
James Dreyfus,1968-10-09,M,1.727,,30.0,4.883828438169644,Male,Royal Academy of Dramatic Art BA,Yes,,London England,1968-10-09,,,1995
Rick Gonzalez,1979-06-30,M,1.73,,21.0,4.883792907327687,Male,Old School,,Track,New York City US,1979-06-30,,1,1998
Jeremy Sumpter,1989-02-05,M,1.88,,12.0,4.882542832516077,Male,,,Baseball,CarmelbytheSea California US,1989-02-05,,1,2000
Katy Perry,1984-10-25,F,1.76,Portuguese Americans,26.0,4.880964597773795,Female,,,,Santa Barbara California US,1984-10-25,,1,2001
Chad Michael Murray,1981-08-24,M,1.83,,21.0,4.880672959264135,Male,,Yes,Football,Buffalo New York US,1981-08-24,,3,1997
Charlotte Rampling,1946-02-05,F,1.7,English people,36.0,4.880671140757631,Female,,,Swimming,Sturmer Essex England,1946-02-05,,2,1963
Josie Maran,1978-05-08,F,1.7,Jewish people,25.0,4.880310666464895,Female,,,Dance,Menlo Park California United States,1978-05-08,,2,2002
Norah Jones,1979-03-30,F,1.562,Bengali,23.0,4.880121350974205,Female,,,,New York City US,1979-03-30,,2,2001
Jonathan Frakes,1952-08-19,M,1.93,,42.0,4.87977188613034,Male,Pennsylvania State University BFAHarvard University MA,Yes,Track,Bellefonte Pennsylvania US,1952-08-19,,2,1977
Ken Howard,1944-03-28,M,1.98,,47.0,4.878956522218841,Male,Amherst College BA 1966Yale UniversityKent State University MFA 1999,,Basketball, US,1944-03-28,,,
Brian Steele,,M,2.01,,,4.878835330156651,Male,,,,Milford Michigan,1963-09-27,,,1992
Isabel Lucas,1985-01-29,F,1.68,,24.0,4.87822529714276,Female,,,,Melbourne Victoria Australia,1985-01-29,,,2003
Ryan Simpkins,1998-03-25,F,1.65,,10.0,4.8767494692246585,Male,,,,New York City US,1998-03-25,,,2003
Michael Parks,1940-04-24,M,1.83,,55.0,4.875482950759743,Male,,,,Corona California US,1940-04-24,,2,1960
Devon Bostick,1991-11-13,M,1.81,,13.0,4.875476580859436,Male,,,,Toronto Ontario Canada,1991-11-13,,,1998
Zachary Levi,1980-09-29,M,1.93,,25.0,4.875472150540661,Male,,,,Lake Charles Louisiana US,1980-09-29,,,2001
Amanda Crew,1986-06-05,F,1.778,,19.0,4.875284484464551,Female,American Academy of Dramatic Arts,,,Langley British Columbia Canada,1986-06-05,,,2005
Donald Glover,1983-09-25,M,1.78,,28.0,4.874381253761453,Male,New York University BFA,,,Edwards California US,1983-09-25,,3,2004
Catherine Mary Stewart,1959-04-22,F,1.68,,25.0,4.873876106105368,Female,,,Dance,Edmonton Alberta Canada,1959-04-22,,2,1980
